DRIVER ID,MILEAGE LAST SERVICE,MILEAGE,SERVICE HISTORY,COMMON PROBLEM,SOLUTION USED
360,16975,51071, Exhaust Repair; Oil Change, Exhaust noise, Exhaust system repair
361,22461,51292, Brake Inspection; Tire Rotation, Brake noise, Brake pad replacement
362,16578,38442, Engine Diagnostics; Oil Change, Check engine light, Diagnostic scan
363,22432,44135, Fluid Leak; Tire Replacement, Fluid leak, Fluid replacement
364,22424,30693, General Maintenance; Engine Repair, Engine roughness, Spark plug replacement
365,24762,44978, Brake Repair; Oil Change, Brake noise, Brake pad replacement
366,13406,68099, Tire Alignment; Brake Inspection, Misaligned wheels, Wheel alignment
367,32328,54838, Suspension Repair; Tire Inspection, Steering issues, Suspension adjustment
368,51260,54001, Exhaust Leak; General Maintenance, Exhaust noise, Exhaust system repair
369,51871,54072, Engine Overheating; Tune-Up, Engine overheating, Cooling system flush
370,16732,57525, Oil Change; Tire Alignment, Misaligned tires, Tire alignment
371,39524,45654, Brake Repair; Engine Check, Brake noise, Brake pad replacement
372,14679,38810, Transmission Repair; Oil Change, Slipping transmission, Transmission fluid change
373,39360,47527, Exhaust Leak; Tire Inspection, Exhaust noise, Exhaust system repair
374,40553,46201, Fluid Leak; Brake Inspection, Fluid leak, Fluid replacement
375,54456,58302, Engine Diagnostics; Oil Change, Engine misfire, Diagnostic scan
376,14465,45806, Suspension Repair; General Maintenance, Steering issues, Suspension adjustment
377,18592,32420, Tire Rotation; Brake Service, Tire wear, Tire rotation
378,30511,38003, Brake Fluid Change; Oil Change, Brake fluid leak, Brake fluid replacement
379,15640,58767, Engine Check; Tire Replacement, Tire damage, Tire replacement
376,34529,35061, Suspension Repair; General Maintenance, Steering issues, Suspension adjustment
377,23322,34688, Tire Rotation; Brake Service, Tire wear, Tire rotation
378,47460,49416, Brake Fluid Change; Oil Change, Brake fluid leak, Brake fluid replacement
379,25770,65629, Engine Check; Tire Replacement, Tire damage, Tire replacement
376,28026,54768, Suspension Repair; General Maintenance, Steering issues, Suspension adjustment
377,8868,31177, Tire Rotation; Brake Service, Tire wear, Tire rotation
378,27004,61379, Brake Fluid Change; Oil Change, Brake fluid leak, Brake fluid replacement
379,28485,52090, Engine Check; Tire Replacement, Tire damage, Tire replacement
380,9533,40722, Battery Check; Oil Change, Battery drainage, Battery replacement
381,29369,32349, AC Service; Engine Tune-Up, AC not cooling, AC repair
382,21786,30536, Wheel Alignment; Brake Inspection, Misalignment, Wheel alignment
383,20929,30114, Fuel Filter Change; Oil Change, Fuel blockage, Fuel filter replacement
384,46526,55740, Timing Belt Replacement; Engine Check, Timing issues, Timing belt replacement
385,23375,66177, Transmission Fluid Change; Brake Service, Gear slipping, Transmission fluid replacement
386,65681,66614, Radiator Flush; Cooling System Check, Overheating, Radiator repair
387,40125,65987, Light Replacement; General Maintenance, Flickering lights, Headlight replacement
388,12667,57915, Exhaust System Repair; Emission Test, Loud exhaust, Exhaust repair
389,19254,47328, Oil Filter Change; Tire Rotation, Oil leak, Oil filter replacement
390,22369,31270, Spark Plug Replacement; Engine Diagnostics, Poor acceleration, Spark plug replacement
391,49717,52238, Clutch Replacement; Brake Inspection, Sticking clutch, Clutch repair
392,14332,64576, Fuel Injection Service; Oil Change, Rough idling, Fuel injector cleaning
393,42380,74687, Windshield Wiper Replacement; General Maintenance, Streaky wipers, Wiper replacement
394,53554,56447, Power Steering Fluid Change; Tire Rotation, Hard steering, Power steering service
395,51952,56170, Differential Service; Brake Fluid Change, Noise while turning, Differential repair
396,6045,37125, Antifreeze Change; Engine Check, Cooling issues, Antifreeze replacement
397,10846,59644, Serpentine Belt Replacement; General Maintenance, Squeaking noise, Belt replacement
398,23583,63782, Engine Filter Change; Tire Replacement, Decreased power, Engine filter replacement
399,37792,44163, Safety Inspection; Brake Service, Warning lights, Inspection service
400,21995,42175, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
401,33931,73716, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
402,13107,38280, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
403,62656,64294, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
404,19670,69268, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration
405,51162,51928, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
406,17780,46951, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
407,37778,61025, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
408,31892,36687, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
409,47198,67205, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
410,11772,32497, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
411,22166,30848, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
412,37025,43853, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
413,42801,46141, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
414,29777,56272, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration
415,52216,74691, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
416,59526,66603, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
417,29767,54699, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
418,20132,74765, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
419,22802,38656, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
420,38674,39024, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
421,5113,65993, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
422,18203,38250, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
423,11024,38327, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration
424,13850,55805, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
425,13141,58586, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
426,5826,74367, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
427,6015,51025, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
428,56162,60146, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
429,37383,41201, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
430,21326,50345, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
431,33204,42854, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
432,19423,48284, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
433,23732,39083, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
434,8870,62818, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
435,15087,56727, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
436,22776,42214, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
437,13438,62300, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
438,7654,71946, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
439,29078,64945, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
440,62156,72427, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
441,17903,34258, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
442,69247,73074, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
443,12180,35766, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
444,31542,33093, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
445,20521,47921, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
446,54770,55225, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
447,15477,42726, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
448,11471,56873, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
449,23749,53520, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
450,41130,56946, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
451,29746,44751, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration
452,27381,49214, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
453,11757,41618, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
454,16857,73551, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
455,46173,47829, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
456,46255,59592, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
457,17560,41886, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
458,23348,43011, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
459,25100,41816, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
460,44526,55651, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
461,31791,65664, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
462,28429,37290, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
463,5311,36014, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
464,23032,62899, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
465,54437,69596, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
466,42204,70359, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
467,62928,65132, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
468,13150,58144, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
469,49244,66059, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
470,45480,48179, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
471,44036,69446, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
472,16449,51928, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
473,17832,39959, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
474,9183,69697, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
475,29002,72991, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
476,10251,51252, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
477,10891,44706, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
478,35088,51203, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
479,55703,65006, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
480,29293,42405, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
481,55510,69736, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
482,34043,41837, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
483,38609,57332, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
484,37813,50603, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
485,46236,55066, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
486,47787,49988, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
487,5615,42966, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
488,18451,44898, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
489,14100,68445, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
490,67917,72747, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
491,42463,48580, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
492,29759,53792, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
493,15543,35703, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration
494,23568,60667, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
495,46683,70820, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration
496,22632,46146, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration
497,28472,60898, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration
498,24776,56291, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration
499,24257,42972, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration
500,24463,36934, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration
